student_id,name,age,grade,email,school_email
1,Zane1,18,C,zane149@school.com,zane172@school.com
2,Uma2,23,A,uma254@school.com,uma273@school.com
3,Wendy3,22,B,wendy342@school.com,wendy340@school.com
4,Xander4,22,A,xander457@school.com,xander422@school.com
5,Victor5,19,A,victor592@school.com,victor529@school.com
6,Ian6,19,D,ian688@school.com,ian634@school.com
7,Leo7,22,A,leo779@school.com,leo75@school.com
8,Paul8,24,B,paul841@school.com,paul8100@school.com
9,Wendy9,23,B,wendy946@school.com,wendy933@school.com
10,Leo10,23,A,leo1045@school.com,leo1078@school.com
11,Uma11,18,C,uma1197@school.com,uma1177@school.com
12,Rita12,18,B,rita1234@school.com,rita1298@school.com
13,Yara13,22,B,yara1324@school.com,yara1333@school.com
14,Bob14,19,C,bob1437@school.com,bob1496@school.com
15,Quincy15,24,A,quincy1568@school.com,quincy1565@school.com
16,Tina16,19,A,tina1652@school.com,tina1651@school.com
17,Alice17,25,B,alice1785@school.com,alice1743@school.com
18,Sam18,20,B,sam1812@school.com,sam1852@school.com
19,Paul19,23,A,paul1942@school.com,paul1970@school.com
20,Victor20,19,D,victor2032@school.com,victor2064@school.com
21,Frank21,23,A,frank2110@school.com,frank2164@school.com
22,Victor22,18,A,victor2282@school.com,victor225@school.com
23,Karen23,25,A,karen2315@school.com,karen2335@school.com
24,Grace24,24,D,grace2472@school.com,grace2470@school.com
25,Quincy25,25,A,quincy2517@school.com,quincy2573@school.com
26,Mona26,20,D,mona2678@school.com,mona2626@school.com
27,Uma27,22,B,uma2786@school.com,uma2781@school.com
28,Nina28,23,B,nina2861@school.com,nina282@school.com
29,Ian29,23,B,ian2973@school.com,ian2912@school.com
30,Tina30,23,A,tina3025@school.com,tina3052@school.com
31,Nina31,22,B,nina318@school.com,nina3141@school.com
32,Hannah32,21,A,hannah3256@school.com,hannah3232@school.com
33,David33,25,D,david3347@school.com,david3338@school.com
34,Wendy34,22,B,wendy3490@school.com,wendy3460@school.com
35,Frank35,25,C,frank3527@school.com,frank3562@school.com
36,Paul36,22,D,paul3628@school.com,paul3628@school.com
37,Ian37,21,D,ian3793@school.com,ian3753@school.com
38,Paul38,20,C,paul3897@school.com,paul3878@school.com
39,Hannah39,18,A,hannah3982@school.com,hannah3990@school.com
40,Zane40,21,A,zane4017@school.com,zane4031@school.com
41,Ian41,24,D,ian41100@school.com,ian4130@school.com
42,Quincy42,24,C,quincy4215@school.com,quincy4230@school.com
43,Quincy43,25,D,quincy4312@school.com,quincy4363@school.com
44,Tina44,19,C,tina4444@school.com,tina4433@school.com
45,Xander45,23,C,xander4560@school.com,xander4582@school.com
46,Zane46,25,C,zane4632@school.com,zane4632@school.com
47,Eva47,19,D,eva4718@school.com,eva4725@school.com
48,Leo48,22,B,leo4847@school.com,leo4868@school.com
49,Uma49,25,A,uma4966@school.com,uma4966@school.com
50,Bob50,22,D,bob5041@school.com,bob5094@school.com
51,Karen51,18,A,karen5197@school.com,karen5154@school.com
52,Hannah52,23,A,hannah5259@school.com,hannah5248@school.com
53,Bob53,21,C,bob5354@school.com,bob5327@school.com
54,Leo54,18,C,leo5426@school.com,leo5482@school.com
55,Yara55,22,A,yara5546@school.com,yara5588@school.com
56,Eva56,19,C,eva569@school.com,eva5674@school.com
57,Nina57,21,B,nina572@school.com,nina5711@school.com
58,Eva58,20,A,eva5835@school.com,eva5892@school.com
59,Oscar59,21,B,oscar591@school.com,oscar5946@school.com
60,Yara60,18,B,yara6031@school.com,yara6054@school.com
61,Oscar61,23,D,oscar618@school.com,oscar6160@school.com
62,Rita62,23,C,rita6264@school.com,rita6289@school.com
63,Victor63,20,D,victor6329@school.com,victor63100@school.com
64,Xander64,19,D,xander6467@school.com,xander6413@school.com
65,Hannah65,22,D,hannah6552@school.com,hannah6540@school.com
66,Nina66,25,D,nina6651@school.com,nina6667@school.com
67,Victor67,18,A,victor6738@school.com,victor6740@school.com
68,Karen68,18,A,karen6876@school.com,karen6874@school.com
69,Grace69,18,D,grace694@school.com,grace6958@school.com
70,Jack70,24,A,jack7070@school.com,jack7099@school.com
71,Nina71,23,B,nina7115@school.com,nina7122@school.com
72,Ian72,22,D,ian7238@school.com,ian7230@school.com
73,Grace73,19,A,grace7369@school.com,grace7322@school.com
74,Grace74,24,C,grace7467@school.com,grace7462@school.com
75,Quincy75,23,D,quincy7569@school.com,quincy7556@school.com
76,Oscar76,19,D,oscar7617@school.com,oscar7695@school.com
77,Grace77,22,D,grace7770@school.com,grace7775@school.com
78,Ian78,22,D,ian7836@school.com,ian7876@school.com
79,Xander79,24,C,xander7975@school.com,xander7953@school.com
80,Tina80,22,D,tina8097@school.com,tina8016@school.com
81,Wendy81,20,A,wendy8111@school.com,wendy8159@school.com
82,Karen82,23,B,karen8295@school.com,karen8215@school.com
